AISC_Manual_Label,W,A,d,bf,tw,tf,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry
W44X335,335,98.5,44.0,15.9,1.03,1.77,31100,1620,1410,17.8,1200,236,150,3.49
W44X290,290,85.4,43.6,15.8,0.865,1.58,27000,1410,1240,17.8,1040,205,132,3.49
W44X262,262,77.2,43.3,15.8,0.785,1.42,24100,1270,1110,17.7,923,182,117,3.47
W44X230,230,67.8,42.9,15.8,0.710,1.22,20800,1100,971,17.5,796,157,101,3.43
W40X655,655,193,43.6,16.9,1.97,3.54,56500,3080,2590,17.1,2870,542,340,3.86
W40X593,593,174,43.0,16.7,1.79,3.23,50400,2760,2340,17.0,2520,481,302,3.80
W40X503,503,148,42.1,16.4,1.54,2.76,41600,2320,1980,16.8,2040,394,249,3.72
W40X431,431,127,41.3,16.2,1.34,2.36,34800,1960,1690,16.6,1690,328,208,3.65
W40X397,397,117,41.0,16.1,1.22,2.20,32000,1800,1560,16.6,1540,300,191,3.64
W40X372,372,110,40.6,16.1,1.16,2.05,29600,1680,1460,16.5,1420,277,177,3.60
W40X362,362,106,40.6,16.0,1.12,2.01,28900,1640,1420,16.5,1380,270,173,3.60
W40X324,324,95.3,40.2,15.9,1.00,1.81,25600,1460,1280,16.4,1220,239,153,3.58
W40X297,297,87.3,39.8,15.8,0.930,1.65,23200,1330,1170,16.3,1090,215,138,3.54
W40X277,277,81.5,39.7,15.8,0.830,1.58,21900,1250,1100,16.4,1040,204,132,3.58
W40X249,249,73.5,39.4,15.8,0.750,1.42,19600,1120,993,16.3,926,182,118,3.55
W40X215,215,63.5,39.0,15.8,0.650,1.22,16700,964,859,16.2,803,156,101,3.54
W40X199,199,58.8,38.7,15.8,0.650,1.07,14900,869,770,16.0,695,137,88.2,3.45
W40X392,392,116,41.6,12.4,1.42,2.52,29900,1710,1440,16.1,803,212,130,2.64
W40X331,331,97.7,40.8,12.2,1.22,2.13,24700,1430,1210,15.9,644,172,106,2.57
W40X327,327,95.9,40.8,12.1,1.18,2.13,24500,1410,1200,16.0,640,170,105,2.58
W40X294,294,86.2,40.4,12.0,1.06,1.93,21900,1270,1080,15.9,562,150,93.5,2.55
W40X278,278,82.3,40.2,12.0,1.03,1.81,20500,1190,1020,15.8,521,140,87.1,2.52
W40X264,264,77.4,40.0,11.9,0.960,1.73,19400,1130,971,15.8,493,132,82.6,2.52
W40X235,235,69.1,39.7,11.9,0.830,1.58,17400,1010,875,15.9,444,118,74.6,2.54
W40X211,211,62.1,39.4,11.8,0.750,1.42,15500,906,786,15.8,390,105,66.1,2.51
W40X183,183,53.3,39.0,11.8,0.650,1.20,13200,774,675,15.7,331,88.3,56.0,2.49
W40X167,167,49.3,38.6,11.8,0.650,1.03,11600,693,600,15.3,283,76.0,47.9,2.40
W40X149,149,43.8,38.2,11.8,0.630,0.830,9800,598,513,15.0,229,62.2,38.8,2.29
W36X925,925,272,43.1,18.6,3.02,4.53,73000,4130,3390,16.4,4940,862,531,4.26
W36X853,853,251,43.1,18.2,2.52,4.53,70000,3920,3250,16.7,4600,805,505,4.28
W36X802,802,236,42.6,18.0,2.38,4.29,64800,3660,3040,16.6,4210,744,468,4.22
W36X723,723,213,41.8,17.8,2.17,3.90,57300,3270,2740,16.4,3700,658,416,4.17
W36X652,652,192,41.1,17.6,1.97,3.54,50600,2910,2460,16.2,3230,581,367,4.10
W36X529,529,156,39.8,17.2,1.61,2.91,39600,2330,1990,16.0,2490,454,289,4.00
W36X487,487,143,39.3,17.1,1.50,2.68,36000,2130,1830,15.8,2250,412,263,3.96
W36X441,441,130,38.9,17.0,1.36,2.44,32100,1910,1650,15.7,1990,368,235,3.92
W36X395,395,116,38.4,16.8,1.22,2.20,28500,1710,1490,15.7,1750,325,208,3.88
W36X361,361,106,38.0,16.7,1.12,2.01,25700,1550,1350,15.6,1570,293,188,3.85
W36X330,330,96.9,37.7,16.6,1.02,1.85,23300,1410,1240,15.5,1420,265,171,3.83
W36X302,302,89.0,37.3,16.7,0.945,1.68,21100,1280,1130,15.4,1300,241,156,3.82
W36X282,282,82.9,37.1,16.6,0.885,1.57,19600,1190,1050,15.4,1200,223,144,3.80
W36X262,262,77.2,36.9,16.6,0.840,1.44,17900,1100,972,15.3,1090,204,132,3.76
W36X247,247,72.5,36.7,16.5,0.800,1.35,16700,1030,913,15.2,1010,190,123,3.74
W36X231,231,68.2,36.5,16.5,0.760,1.26,15600,963,854,15.1,940,176,114,3.71
W36X256,256,75.3,37.4,12.2,0.960,1.73,16800,1040,895,14.9,528,137,86.5,2.65
W36X232,232,68.0,37.1,12.1,0.870,1.57,15000,936,809,14.8,468,122,77.2,2.62
W36X210,210,61.9,36.7,12.2,0.830,1.36,13200,833,719,14.6,411,107,67.5,2.58
W36X194,194,57.0,36.5,12.1,0.765,1.26,12100,767,664,14.6,375,97.7,61.9,2.56
W36X182,182,53.6,36.3,12.1,0.725,1.18,11300,718,623,14.5,347,90.7,57.6,2.55
W36X170,170,50.0,36.2,12.0,0.680,1.10,10500,668,581,14.5,320,83.8,53.2,2.53
W36X160,160,47.0,36.0,12.0,0.650,1.02,9760,624,542,14.4,295,77.3,49.1,2.50
W36X150,150,44.3,35.9,12.0,0.625,0.940,9040,581,504,14.3,270,70.9,45.1,2.47
W36X135,135,39.9,35.6,12.0,0.600,0.790,7800,509,439,14.0,225,59.7,37.7,2.38
W33X387,387,114,36.0,16.2,1.26,2.28,24300,1560,1350,14.6,1620,312,200,3.77
W33X354,354,104,35.6,16.1,1.16,2.09,22000,1420,1240,14.5,1460,282,181,3.74
W33X318,318,93.7,35.2,16.0,1.04,1.89,19500,1270,1110,14.5,1290,250,161,3.71
W33X291,291,85.6,34.8,15.9,0.960,1.73,17700,1160,1020,14.4,1160,226,146,3.68
W33X263,263,77.4,34.5,15.8,0.870,1.57,15900,1040,919,14.3,1040,202,131,3.66
W33X241,241,71.1,34.2,15.9,0.830,1.40,14200,940,831,14.1,933,182,118,3.62
W33X221,221,65.3,33.9,15.8,0.775,1.28,12900,857,759,14.1,840,164,106,3.59
W33X201,201,59.1,33.7,15.7,0.715,1.15,11600,773,686,14.0,749,147,95.2,3.56
W33X169,169,49.5,33.8,11.5,0.670,1.22,9290,629,549,13.7,310,84.4,53.9,2.50
